iri,url,nazev_cs,vytvoreno,aktualizovano,vyveseni,relevantni_do,cislo_jednaci,spisova_znacka,agenda_names,document_urls
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5447,https://www.horsovskytyn.cz/urad/uredni-deska/oznameni-o-zameru-mesta-pronajmout-nebytovy-prostor-na-dobu-neurcitou-ordinace-lekare-b-nemcove-34-horsovsky-tyn-5447.html,"Oznámení o záměru města pronajmout nebytový prostor na dobu neurčitou - ordinace lékaře, B. Němcové 34, Horšovský Týn",2025-01-22T00:00:00+01:00,2025-01-22T00:00:00+01:00,2025-01-22,nespecifikovaný,MUHT 1813/2025,,Pronájmy bytů a nebytových prostor,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5194_1.pdf&original=Ozna_meni_B_Ne_mcove_34.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5448,https://www.horsovskytyn.cz/urad/uredni-deska/oznameni-o-zameru-mesta-pronajmout-nebytovy-prostor-na-dobu-neurcitou-ordinace-pro-praktickeho-lekare-dobrovskeho-254-horsovsky-tyn-5448.html,"Oznámení o záměru města pronajmout nebytový prostor na dobu neurčitou - ordinace pro praktického lékaře, Dobrovského 254, Horšovský Týn",2025-01-22T00:00:00+01:00,2025-01-22T00:00:00+01:00,2025-01-22,nespecifikovaný,MUHT 1814/2025,,Pronájmy bytů a nebytových prostor,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5195_1.pdf&original=Ozna_meni_Dobrovske_ho_254_ordinace_prakticke_ho_le_kar_e.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5449,https://www.horsovskytyn.cz/urad/uredni-deska/oznameni-o-zameru-mesta-pronajmout-nebytovy-prostor-na-dobu-neurcitou-nadrazni-73-horsovsky-tyn-5449.html,"Oznámení o záměru města pronajmout nebytový prostor na dobu neurčitou - Nádražní 73, Horšovský Týn",2025-01-22T00:00:00+01:00,2025-01-22T00:00:00+01:00,2025-01-22,nespecifikovaný,MUHT 1815/2025,,Pronájmy bytů a nebytových prostor,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5196_1.pdf&original=Ozna_meni_Na_draz_ni_73_2_patro_po_Fair_Credit_.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5422,https://www.horsovskytyn.cz/urad/uredni-deska/oznameni-o-zverejneni-rozpoctu-a-strednedobeho-vyhledu-rozpoctu-mesta-horsovsky-tyn-5422.html,Oznámení o zveřejnění rozpočtu a střednědobého výhledu rozpočtu města Horšovský Týn,2025-01-06T00:00:00+01:00,2025-01-06T00:00:00+01:00,2025-01-06,nespecifikovaný,MUHT 219/2025,,Dlouhodobě zveřejněné dokumenty,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5168_1.pdf&original=rozpo%C4%8Det%202025%20-%20ozn%C3%A1men%C3%AD%20o%20zve%C5%99ejn%C4%9Bn%C3%AD.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5425,https://www.horsovskytyn.cz/urad/uredni-deska/rozpocty-na-rok-2025-a-strednedobe-vyhledy-rozpoctu-2026-2027-prispevkovych-organizaci-mesta-5425.html,Rozpočty na rok 2025 a střednědobé výhledy rozpočtu 2026 - 2027 příspěvkových organizací města,2025-01-06T00:00:00+01:00,2025-01-06T00:00:00+01:00,2025-01-06,nespecifikovaný,MUHT 305/2025,,Dlouhodobě zveřejněné dokumenty,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5171_1.pdf&original=CHD%20-%20Rozpo%C4%8Det%202025%20a%20v%C3%BDhled%20na%20roky%202026-2027.pdf; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5171_2.pdf&original=Z%C5%A0%20-%20Rozpo%C4%8Det%202025%20a%20rozpo%C4%8Dtov%C3%BD%20v%C3%BDhled%202026-2027.pdf; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5171_3.pdf&original=MKZ%20-%20Rozpo%C4%8Det%202025%20a%20rozpo%C4%8Dtov%C3%BD%20v%C3%BDhled%20na%20roky%202026-2027.pdf; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5171_4.pdf&original=M%C5%A0%20-%20Rozpo%C4%8Det%202025%20a%20v%C3%BDhled%20na%20roky%202026-2027.pdf; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5171_5.pdf&original=ZU%C5%A0%20-%20Rozpo%C4%8Det%202025%20a%20v%C3%BDhled%20na%20roky%202026-2027.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5409,https://www.horsovskytyn.cz/urad/uredni-deska/vsod-rozpocet-svazku-na-rok-2025-5409.html,VSOD - Rozpočet svazku na rok 2025,2024-12-20T00:00:00+01:00,2024-12-20T00:00:00+01:00,2024-12-20,nespecifikovaný,MUHT 30955/2024,,Dlouhodobě zveřejněné dokumenty,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5158_1.pdf&original=Rozpo%C4%8Det_VSOD_2025.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5410,https://www.horsovskytyn.cz/urad/uredni-deska/vsod-strednedoby-vyhled-rozpoctu-svazku-na-obdobi-2026-2028-5410.html,VSOD - Střednědobý výhled rozpočtu svazku na období 2026 - 2028,2024-12-20T00:00:00+01:00,2024-12-20T00:00:00+01:00,2024-12-20,nespecifikovaný,MUHT 30955/2024,,Dlouhodobě zveřejněné dokumenty,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5159_1.pdf&original=St%C5%99edn%C4%9Bdob%C3%BD_v%C3%BDhled_VSDO_2026_2028.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5381,https://www.horsovskytyn.cz/urad/uredni-deska/svazek-domazlicko-schvaleny-rozpocet-2025-5381.html,Svazek Domažlicko - Schválený rozpočet 2025,2024-12-04T00:00:00+01:00,2024-12-04T00:00:00+01:00,2024-12-03,2025-12-31,,,Svazek Domažlicko - Rozpočty,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5381_1.pdf&original=Schv%C3%A1len%C3%BD%20rozpo%C4%8Det%202025.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5382,https://www.horsovskytyn.cz/urad/uredni-deska/svazek-domazlicko-schvaleny-strednedoby-vyhled-rozpoctu-2026-2027-5382.html,Svazek Domažlicko - Schválený střednědobý výhled rozpočtu 2026-2027,2024-12-04T00:00:00+01:00,2024-12-04T00:00:00+01:00,2024-12-03,2025-12-31,,,Svazek Domažlicko - Rozpočty,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5382_1.pdf&original=Schv%C3%A1len%C3%BD%20St%C5%99edn%C4%9Bdob%C3%BD%20v%C3%BDhled%20rozpo%C4%8Dtu%202026-2027.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5298,https://www.horsovskytyn.cz/urad/uredni-deska/oznameni-o-zameru-mesta-prodat-nemovity-majetek-pozemky-v-obytne-zone-u-potoka-horsovsky-tyn-5298.html,"Oznámení o záměru města prodat nemovitý majetek - pozemky v Obytné zóně U potoka, Horšovský Týn",2024-10-10T00:00:00+02:00,2024-10-10T00:00:00+02:00,2024-10-10,nespecifikovaný,MUHT 25700/2024,,Dokumenty z Odboru majetku a investic města,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5054_1.pdf&original=%C3%9AD%20-%20ozn%C3%A1men%C3%AD%20o%20z%C3%A1m%C4%9Bru%20m%C4%9Bsta%20prodat%20pozemky%20v%20OZ%20U%20Potoka%281020511677%29.pdf; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5054_1.odt&original=P%C5%99%C3%ADloha%20%C4%8D.%201%20-%20vzor%20-%20%C5%BE%C3%A1dost%20o%20odkoupen%C3%AD%20pozemku%20obecn%C4%9B%283962544039%29.odt; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5054_2.pdf&original=P%C5%99%C3%ADloha%20%C4%8D.%201%20-%20vzor%20-%20%C5%BE%C3%A1dost%20o%20odkoupen%C3%AD%20pozemku%20obecn%C4%9B%284290106040%29.pdf; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5054_2.odt&original=P%C5%99%C3%ADloha%20%C4%8D.%202%20-%20vzor%20-%20%C4%8Destn%C3%A9%20prohl%C3%A1%C5%A1en%C3%AD%20-%20bezdlu%C5%BEnost%280158844494%29.odt; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5054_3.pdf&original=P%C5%99%C3%ADloha%20%C4%8D.%202%20-%20vzor%20-%20%C4%8Destn%C3%A9%20prohl%C3%A1%C5%A1en%C3%AD%20-%20bezdlu%C5%BEnost%280474935772%29.pdf; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5054_4.pdf&original=situace%20s%20um%C3%ADst%C4%9Bn%C3%ADm%20pozemk%C5%AF_OZ%20U%20Potoka%280663115170%29.pdf; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5054_5.pdf&original=stavebn%C3%AD%20povolen%C3%AD%280831252368%29.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5224,https://www.horsovskytyn.cz/urad/uredni-deska/svazek-domazlicko-smlouva-o-poskytnuti-dotace-5224.html,Svazek Domažlicko - Smlouva o poskytnutí dotace,2024-07-31T00:00:00+02:00,2024-07-31T00:00:00+02:00,2024-07-31,2027-07-30,,,Svazek Domažlicko - Veřejnoprávní smlouvy,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5224_1.pdf&original=smlouva%20dotace%20svazek%20obc%C3%AD%20Doma%C5%BElicko%202024.pdf
