iri,url,nazev_cs,popis_cs,vytvoreno,aktualizovano,zacatek,konec,vhodne_pro_detii,vhodne_pro_zvirata,poradatele,adresa,image_urls
https://www.horsovskytyn.cz/ofn/události/ofn63db8a385e1ee/19-zasedani-zastupitelstva-mesta-horsovsky-tyn-1260cs,https://www.horsovskytyn.cz/aktualne/kalendar-akci/19-zasedani-zastupitelstva-mesta-horsovsky-tyn-1260cs.html,19. zasedání Zastupitelstva města Horšovský Týn,19. zasedání Zastupitelstva města Horšovský Týn,2025-02-25T13:15:18+01:00,2025-04-28T16:38:20+02:00,2025-05-05T17:00:00+02:00,nespecifikovaný,False,False,Městský úřad Horšovský Týn,"nám. Republiky  105, Horšovský Týn",https://www.horsovskytyn.cz/evt_image.php?img=2487; https://www.horsovskytyn.cz/evt_image.php?img=2514
https://www.horsovskytyn.cz/ofn/události/ofn63db8a385e1ee/20-zasedani-zastupitelstva-mesta-horsovsky-tyn-1261cs,https://www.horsovskytyn.cz/aktualne/kalendar-akci/20-zasedani-zastupitelstva-mesta-horsovsky-tyn-1261cs.html,20. zasedání Zastupitelstva města Horšovský Týn,20. zasedání Zastupitelstva města Horšovský Týn,2025-02-25T13:33:27+01:00,2025-02-25T13:34:56+01:00,2025-06-23T17:00:00+02:00,nespecifikovaný,False,False,Městský úřad Horšovský Týn,"nám. Republiky  105, Horšovský Týn",https://www.horsovskytyn.cz/evt_image.php?img=2488
